Project #,Opportunity Title,Pier Load Calcs,Total MW,Module/Row ,DWS (),Snow Load ,Mod Len,Hole c/c,Mod Wid,Mod Thickness,Mod  Weight,Pier Height,GCR,EXT - Total Piers,EXT - Drive Piers,EDG - Total Piers,EDG - Drive Piers,INT - Total Piers,INT - Drive Piers,Tracker Version,"Panel Rail Length Group, A","Panel Hole Spacing Group, B"
1293919,"DEPCOM - Gemini Solar, NV - 967 MW - NX Gemini",https://nextracker.app.box.com/file/747885945019,967,54,105.00,0,2094,997,1038,35,60.63,6.5,0.4,4,4,4,3,,,NXG - 1.3.3.7,3,7
1293920,"DEPCOM - Gemini Solar, NV - 967 MW - NX Gemini",https://nextracker.app.box.com/file/747882611762,967,108,105.00,0,2094,997,1038,35,60.63,6.5,0.27,7,7,6,4,,,NXG - 1.3.3.7,3,7
1264461,"Konisto - DIA 7, CO - 12.41 MW- Gemini",https://nextracker.app.box.com/file/747872411048?s=xtmj2l4rorlxrll8z0vo5punbw2ivct8,12.41,108,105.00,35,2094,1000,1038,35,54.01,6.5,0.35,7,7,7,4,,,NXG - 1.3.3.7,3,7
1264461,"Konisto - DIA 7, CO - 12.41 MW- Gemini",https://nextracker.app.box.com/file/733440474064?s=x2fva3dnyxnmgxvmwappzkyjnclm3iwp,12.41,108,105.00,30,2000,946,992,35,50.7,6.5,0.35,7,7,7,4,,,NXG - 1.3.1.2,1,2
495891,"Moss - Pulehu Solar, HI - 54.5MW",https://nextracker.app.box.com/file/745916268069,54.5,120,100.00,0,2024,,1245,48.5,76.94,6.5,0.35,9,9,8,6,,,NXG - 1.3.FSLR S6,2,-94
495892,"Moss - Pulehu Solar, HI - 54.5MW",https://nextracker.app.box.com/file/745913418532,54.5,60,100.00,0,2024,,1245,48.5,76.94,6.5,0.35,5,5,5,3,,,NXG - 1.3.FSLR S6,2,-94
495893,"Moss - Pulehu Solar, HI - 54.5MW",https://nextracker.app.box.com/file/745604250757,54.5,120,100.00,0,2009,,1232,48.5,77.16,6.5,0.35,9,9,8,6,,,NXG - 1.3.FSLR S6,2,-94
495894,"Moss - Pulehu Solar, HI - 54.5MW",https://nextracker.app.box.com/file/745605399763,54.5,60,100.00,0,2009,,1232,48.5,77.16,6.5,0.35,5,5,5,3,,,NXG - 1.3.FSLR S6,2,-94
1299634,"Black & Veath - Sandy Creek Solar, FL - 98.8MW - Gemini",https://nextracker.app.box.com/file/748777109958,98.8,60,120.00,0,2009,,1232,49,76.05,6.5,0.37,12,12,9,8,,,NXG - 1.3.FSLR S6,2,-94
1299634,"Black & Veath - Sandy Creek Solar, FL - 98.8MW - Gemini",https://nextracker.app.box.com/file/748789201513,98.8,60,100.00,0,2009,,1232,48.5,77.16,6.5,0.35,5,5,5,3,,,NXG - 1.3.FSLR S6,2,-94
1301634,"WOOD PLC - Flatland, TX - 233.18MW - Gemini",https://nextracker.box.com/s/00zsqt5b5kwwf0e0hi14ev20xdmwlbh5,233.18,,,,,,,,,,,,,,,,,NXG - 1.3.FSLR S6,-39,-94
1300034,"Moss - Neptunesolar, CO - 400MW",https://nextracker.box.com/s/m8vx7zt4b66et41temdzjxm8epuwar4e,400,104,105.00,10,2008,952,1002,40,49.6,6.5,0.35,6,6,6,4,,,NXG - 1.3.2.2,2,2
1266262,Enerside - Centauro - Chile - 10MW,https://nextracker.box.com/s/bkv9e631q03io9sxlkn0634ein5hiegw,10,104,89.00,5.12,2163,980,1030,30,57.32,6.5,0.35,8,8,6,4,,,NXG - 1.3.5.5,5,5
810142,"Moss - Mahi Solar, HI - 160MW - Gemini",https://nextracker.app.box.com/file/748792601719,160,120,135.00,0,2009,,1232,49,77.16,6.5,0.35,16,16,11,9,,,NXG - 1.3.FSLR S6,2,-94
